,date-time,Tax($),Savings Plans for  Compute usage($),Relational Database Service($),EC2-Other($),CloudWatch($),S3($),Support (Business)($),VPC($),EC2-Instances($),Tetrate Service Bridge($),Glue($),OpenSearch Service($),Elastic Load Balancing($),ElastiCache($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic File System($),Elastic Container Service for Kubernetes($),Elastic MapReduce($),Managed Streaming for Apache Kafka($),CloudTrail($),Certificate Manager($),DynamoDB($),Direct Connect($),SageMaker($),QuickSight($),OCBLateFee($),DMS($),Route 53($),MQ($),Cognito($),CloudFront($),Hardened Red Hat Enterprise 7 (RHEL 7)($),EC2 Container Registry (ECR)($),Config($),SNS($),Rekognition($),Glacier($),CIS  Linux 2 Benchmark - Level 2($),Savings Plans for  Machine Learning($),Systems Manager($),"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)($)",Kinesis($),Lambda($),Backup($),Key Management Service($),Managed Service for Prometheus($),SQS($),API Gateway($),Security Hub($),Secrets Manager($),AppFlow($),X-Ray($),Managed Workflows for Apache Airflow($),Cost Explorer($),Directory Service($),CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($),Kinesis Firehose($),SES($),Step Functions($),WAF($),DynamoDB Accelerator (DAX)($),Athena($),Inspector($),Antivirus for  S3 - PAYG with 30 DAY FREE TRIAL($),Transfer Family($),FSx($),WorkSpaces($),Budgets($),Service Catalog($),CloudWatch Events($),Pinpoint($),RHEL 8 with Support by Supported Images($),Elastic Container Service($),CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($),CIS  Linux 2 Benchmark - Level 1 (ARM)($),Elastic Disaster Recovery($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Amplify($),Fault Injection Simulator($),AppSync($),Simple Workflow Service($),CloudShell($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),CodeBuild($),DevOps Guru($),Data Transfer($),Refund($),Total costs($)
count,396,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
mean,2023-10-15 12:00:00,2586.0054292929294,2135.0394669191915,1883.6206410054901,1752.6277008795796,1084.4019995314923,1052.1015742059951,781.9463205642694,752.3475127186299,695.9922428786296,694.4444444444445,569.0644548687566,475.2341484777796,406.108160005843,360.5144903359816,339.6953726111245,241.6383406945187,196.38883769944698,162.21140049391514,159.61983441772725,142.1895588359995,130.9550502872727,130.38139173646465,127.99146534294974,93.9775312370581,82.39294654102298,73.09337903808611,71.1110101010101,59.40832269776742,56.731777040272476,56.637341074904036,56.45380888383838,56.06762224267349,51.28934343434344,32.932510711537624,32.499356262626264,31.81909231821288,31.07198875186868,23.779892222518935,23.470954545454543,22.181818181818183,20.31212392095454,18.528282828282833,16.63281792581338,13.663492574819948,12.243414820917423,11.8502401598601,9.093160345298484,8.835481682381314,7.402722394145455,7.229343028787878,6.0164840018356065,5.663905750964141,5.538540079924243,5.326848850865152,4.40037156481995,4.29622656170101,3.6159747474747475,3.2337534010363638,3.226951398109596,2.430714027433333,1.9976455215106064,1.7766388888888889,1.3887615438131313,1.0151070249459595,0.43926767676767675,0.4063364646964646,0.2332706602035354,0.23203030303030303,0.1750560606060606,0.13926508838383836,0.09177197709545455,0.061060606678787877,0.035883838383838386,0.011630878315404039,0.011111111111111112,0.0077777777777777776,0.00217,0.0017895454545454547,0.000505050505050505,0.0003341925861111111,0.0003053030303030303,0.0002929083732323232,2.194229015151515e-05,3.3621063131313133e-06,4.477414141414141e-07,2.4823484848484847e-08,0.0,0.0,0.0,0.0,0.0,-22.17022192229444,-126.28770202020202,17744.549497855493
min,2023-04-01 00:00:00,0.0,111.6,1356.3778470519,976.4788737873,367.339585888,262.3446777251,0.0,421.2509171875,105.9378963045,0.0,320.2694416338,254.7023383884,216.5428893516,277.8398641554,52.9393491222,158.6283149042,42.5492890201,136.152,107.2814593363,48.1290675137,0.0,0.0,1.533502028,-9e-10,0.0,57.663720024,0.0,43.4347266265,43.284912624,34.7822636804,0.0,0.0414544174,34.84,13.3065725115,0.0,0.0117132297,1.1078625,16.9844736463,8.32,0.0,0.004996704,0.0,5.1604877023,0.0101373554,3.2832088602,6.61286526,0.0,0.2114878025,1.6522106659,0.05952,3.972930546,0.1644018357,0.0,0.0,0.0,2.3104821728,0.46,1.3485899477,2.2470228927,9.169e-07,0.6899999904,0.0,0.10636875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000296364,0.06,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-305.2990827133,-13628.52,9277.6664321494
10%,2023-05-10 12:00:00,0.0,352.656,1452.41357925475,1267.6760922219,544.53430576785,670.70032758825,0.0,551.94518671015,182.92321827035,0.0,386.73429556825,338.48396755595,270.16009616534996,283.46446449995,69.35066892924999,169.7491861314,51.35621340975,138.384,118.6058501307,74.10206972685,10.9596703275,0.0,12.97031597115,74.03377205125,0.03989747885,64.5230399892,0.0,43.43472757915,43.708415838,41.53843426580001,0.0,13.54922474975,39.6,14.581541600249999,0.0,8.465405490550001,20.0054625,16.9844802113,11.03,24.0,0.08028671400000001,19.92,6.13720932985,0.013407616399999999,3.4938002898000002,7.73457261945,0.0,2.7049088241500003,1.8343644289499998,0.05952,4.6672760182,0.9783986887,0.0,0.0,1.3288626,2.39443622315,0.48,1.88073882025,2.3270245121,1.291615e-05,0.7130005668,0.0,0.40132290000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116605355,0.06,0.0,3.5455950000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6505e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.7090759938,0.0,10096.291234382
20%,2023-06-19 00:00:00,0.0,1703.016,1553.1450990971,1587.8156621133,650.8115520769,928.5330389864,0.0,599.3320525365,267.0535678118,0.0,417.7647770817,373.9391566664,291.9245888933,292.5701055656,94.1268295734,181.2661515117,77.936947897,140.616,125.3072462394,77.4315168984,35.231069565,0.0,21.2923163532,74.1894778444,0.0793600008,66.14152392,0.0,43.4347298062,51.520912864,48.5149420503,0.0,24.7788726855,40.54,16.9475772091,6.74343,10.1855836583,22.7478,16.984481635,11.968,24.0,0.436073466,19.92,7.2893079635,0.0174320697,6.4293908889,8.5989230916,0.0,4.3502807804,3.8114912446,2.44311,4.7927546,2.0512328171,0.0,0.0,1.4144643,2.4235316605,1.44,2.3799433685,2.5436912739,1.91505e-05,0.93050721,0.0,0.5392233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018567485,0.06,0.0,5.0686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5738300304,0.0,11288.4668342974
30%,2023-07-28 12:00:00,0.0,2459.9610000000002,1710.1869021704001,1663.5508004575,717.296179032,979.7986304995,0.0,649.877610964,343.4944321859,0.0,439.60198289485004,382.24460346784997,317.78508171925,349.9779806667,134.5709502548,206.33677572189998,101.3873823448,140.616,131.0604051199,84.0382659838,41.59162089,0.0,22.88182716365,74.5442313309,0.1578338657,69.9066219652,0.0,45.800648858399995,52.44266001,55.67369999615,0.0,29.6208652965,42.379999999999995,18.2964604935,12.723794999999999,15.89873494865,25.23017367,16.98448456585,17.39,24.0,0.8852089679999999,19.92,7.5068953037,7.8698047032,8.0413036956,9.003803925,0.0,5.7308131933999995,4.357735257,3.589242,4.9616419187,2.6567761777500003,0.006028725,0.0,1.591522795,3.0734755940499996,3.36,2.6304167643,2.80291034585,2.06739e-05,0.931088088,0.0,0.675917025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032051809,0.06,0.0,6.0840199999999994e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182815e-05,0.0,11749.56089956355
40%,2023-09-06 00:00:00,0.0,2595.816,1747.9947426782,1722.4308704469,767.7435820994,1028.8778121042,0.0,705.0577171589,425.5344933045,0.0,468.3283778298,395.019296057,355.1258101332,365.2229179803,146.2957026137,231.5065719041,118.6885537415,144.4707757804,137.5866628391,88.8982830549,47.03699316,0.0,27.8896494714,74.6734250819,0.182001225,72.261000456,0.0,47.4562890044,52.79400192,55.6868883188,0.0,33.5406735277,48.08,20.0574008687,17.21235,20.2853258575,29.10705,16.9845095952,20.24,24.0,1.496790546,19.92,9.6026922319,13.8348998638,8.7202007517,10.41106162,0.0,7.1633452374,4.6622191609,4.7715231,5.1741898548,3.2434254159,0.03638625,0.0,2.0547414,3.5936786655,3.84,2.719363654,2.9804134643,2.30895e-05,0.9630261084,2.808,0.7617723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358069056,0.06,0.0,7.25023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86917e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12479.4257007852
50%,2023-10-15 12:00:00,0.0,2595.816,1837.19023605245,1780.1256161936499,807.20056648815,1092.3842957225002,0.0,750.64369968605,489.8062841167,0.0,488.61097638635,415.02548555045,382.83749008229995,376.07004485905,178.9160265434,238.19108944915,132.55190688164998,158.472,146.1578921279,115.4873673399,68.33953363500001,0.0,46.77463872035,79.10218827290001,42.408,73.5349421226,0.0,51.1987472833,58.800108264,55.70409988435,0.0,37.8371431961,49.97,21.04275883505,25.494462,25.11455283065,31.529712500000002,17.444490268099997,21.46,24.0,2.421353766,19.92,9.63593716615,14.75203033645,10.73165964965,12.098161625,0.0,8.23711267845,4.960812783050001,6.41793,5.36346476785,4.0535520119,0.046892925,0.0,2.9808859500000002,5.41334432495,3.84,3.1939742525,3.24525426775,2.68415e-05,2.2989560754,2.808,0.937316775,0.0,0.0,0.0,0.0,0.0,0.0,0.034657,0.04027997565,0.06,0.0,7.73095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13001.3582797561
60%,2023-11-24 00:00:00,0.0,2595.816,1891.8941794742,1829.791302931,856.9988028132,1142.3104082491,0.0,786.4914813439,660.3689680657,0.0,522.5529910252,513.0549679696,422.3258437486,381.6946832464,183.4038545474,248.4733759888,149.5993577237,165.1216417478,171.8123769606,119.433576905,108.91301052,0.0,52.8780543807,125.6532308079,45.1255250008,75.320743788,0.0,52.2839049765,59.965751976,55.8379573246,0.0,45.9064255309,57.76,22.7313453846,36.068562,31.4960227691,34.47882,17.5506281129,22.52,24.0,3.646101828,19.92,13.0709118821,15.6688662663,11.5954090566,12.6948258,0.0,9.3334001464,5.2566138458,8.631888,5.7488585508,4.7201270668,0.06887115,0.0,3.45893799,5.4775625783,4.0,3.3472945633,3.4336316073,3.08542e-05,2.4001084344,2.808,1.11670215,0.801288,0.0,0.0,0.0,0.0,0.0186,0.080073,0.0469845266,0.0620000016,0.0,0.0001028269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21378e-05,9.22e-08,2.752e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13877.0947860764
70%,2024-01-02 12:00:00,0.0,2595.816,1955.4591377163001,1878.9766969512002,948.5167709018,1186.2908775352998,0.0,818.78871648675,924.7639086037,0.0,566.0717765123,557.0190125647,472.80715494235,388.35107288585004,187.2050145222,262.5672286008,185.4335923889,171.864,187.4757843066,126.32922022414999,156.727418365,0.0,65.2694532967,125.86630103145,45.381334669699996,77.021976924,0.0,53.4842889452,60.4100472,55.8715579427,71.8659825,54.0437583949,58.56,26.76384902405,44.848060000000004,36.93758280585,36.81114375,17.55063528405,25.3,24.0,5.196588435,19.92,23.305384290699998,17.10718629635,13.046196567199999,14.055524390399999,0.0,10.9884548041,8.438254488999998,10.36424085,6.33205215,5.5055765366500005,0.093685875,0.0,6.72932591,5.5188190099,4.32,3.9727611646,3.5883582684,3.7191600000000005e-05,2.6776351494,2.808,1.29960525,1.8832499999999999,0.0,0.0,0.0,0.0,0.0279,0.154287,0.05257365585,0.0620000016,0.0,0.0009501349499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48102e-05,1.25905e-06,6.06e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14592.8616415816
80%,2024-02-11 00:00:00,0.0,2595.816,2224.0627531305,1948.6261324248,1191.9979942662,1229.1532776274,0.0,878.8375241334,1151.398517804,0.0,685.5318760467,585.1578208005,512.5721732231,403.1777310985,190.873647874,277.1638148536,229.3124578773,178.5339562028,195.4317793782,153.0776973578,187.41219849,0.6975,127.2777294997,126.1397783007,207.7065325013,79.062163848,0.0,58.876570955,60.546562272,62.4298592519,142.00821,71.9377663386,61.38,28.4724977811,51.53967,45.1113662325,38.955375,18.1558165097,34.48,24.0,8.987080668,19.92,31.5393649507,23.1704132019,18.4114310646,15.1274400504,33.1272269858,12.5016315762,11.080065674,12.0728043,7.8360739483,6.4560135235,0.1153014,15.37080192,7.285245,5.5494601678,5.28,4.1058807169,3.809423423,4.73991e-05,2.913476508,2.808,1.7032857,2.232,0.0,0.0,0.0,0.0,0.5859,0.260652,0.0591117838,0.0620000016,0.0,0.006927794,0.0,0.0,0.0,0.0,0.0,1.228e-07,0.0,0.0,3.2107e-05,2.4785e-06,9.047e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15421.0228521915
90%,2024-03-21 12:00:00,0.185,2595.816,2335.375618908,2105.4693323431,1703.7188775205,1345.6268866946002,0.0,972.2812533085,1480.2230323016502,0.0,867.7553077341,642.6656610730499,545.5379942254999,411.1519978933,194.7583894057,299.1412350627,338.5221397608,199.43592596645,217.3550183394,346.97302104065,366.94964151,1.395,576.51180452565,126.22351419685,308.70519945475,80.515528698,0.0,91.74036901645,66.581919288,62.7887488807,191.939073,98.84974374555,62.31,32.1969963541,68.27320800000001,63.0562980271,41.77385625,43.2724923535,40.120000000000005,24.0,99.464746665,19.92,33.32156809355,27.2336244699,24.108716191550002,16.44774506635,34.47216288605,14.8095872707,17.82438959955,14.30060855,8.6190383713,9.61228608395,0.202788825,22.89539549485,7.8812025000000006,5.6191242102,6.1,4.801571851349999,4.0596885723,8.045945454000002,3.6083965404000002,2.808,3.0796345499999997,2.6505,1.75,0.0,0.0,0.0,0.6789,0.410312,0.25920237645,0.0620000016,0.0,0.037638778250000005,0.0,0.0,0.0,0.0,0.0,3.903e-07,0.0,0.0,4.502795e-05,5.829e-06,1.2961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18925.442632992897
max,2024-04-30 00:00:00,113119.57,2595.816,10940.9650364117,2463.6109867208,9982.2896172296,1848.6821818986,34773.954034331,1199.2814192601,1976.152776845,275000.0,2050.2445793991,903.1835118458,848.2395726935,460.9083515001,8385.7381020595,449.1732713105,4145.5445720861,239.8058837783,228.4405073122,407.8718230117,613.576459155,6676.0,1783.1998572742,140.5530470286,347.6693325931,90.4587455088,12225.41,177.9239024039,82.433977914,113.1518300807,1161.353976,385.4992135781,77.38,392.0243446729,169.784695,177.6991428251,54.3922125,133.5925608988,47.8,24.0,276.738528324,20.75,44.8935137193,89.408662697,39.664196527,24.4852701708,88.4253087,30.9548612141,30.1525866074,23.3682504,9.5209643976,116.3549397456,125.27376954,34.5841878513,59.92434146,6.8777676757,7.26,5.7587194483,6.6569606602,163.7349452989,4.553616882,3.07,12.8605039,26.6527530064,50.75,6.696,4.6817579331,17.67,0.6789,1.121022,4.0148578297,0.0641379312,5.6,0.2377662432,0.48,0.92,0.33852,0.62775,0.2,0.0783946133,0.1209,0.0194351919,5.43647e-05,0.000256832,2.13688e-05,7.228e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287628.3937714379
std,,14283.121955660668,837.6484098676106,548.9445582105841,316.7893487061293,978.645001214548,301.1077892247847,4276.97874210379,159.87716213135897,491.5460367696668,13819.269959814234,231.79864575859088,128.27666745245162,121.64412864189501,47.24915098248413,1028.258792234609,59.90838933891823,355.5543844016475,25.256238685802153,36.5236164165745,99.10628178692365,134.14265649267637,706.39258167282,253.15271425564453,36.58390094792235,113.49112463654858,6.462985526402907,855.1350691911276,28.56184223681076,7.2845680858731034,15.128759738182092,98.60085728663846,61.654677912656354,9.726242542637415,45.39834042486202,30.195661556714317,26.03023519286628,9.241575382336631,18.96629645501204,10.626932042975987,6.35866976991315,45.7098064933922,5.0748146645271035,11.379356055174126,10.640581277181186,7.900313926747603,3.32096580915524,16.763302620227904,5.089894498014474,6.069226151759983,5.3395555508936665,1.4798759538372428,9.66690322664278,21.944690843002203,9.80372055218185,4.73761621696905,1.441530159693808,1.8278031662491894,1.056717964887323,0.6559307652750489,10.547096505932963,1.0968374181866785,1.354280500609792,1.532267518195163,1.8328879658488793,3.63061765070848,1.5767093564256598,1.001825673318684,1.9764095541313613,0.2806992860761894,0.2136064320623322,0.26136682911152925,0.001283880253037375,0.4065669504601871,0.03110270696741026,0.07143929194212809,0.07386687382870898,0.02534681158886682,0.03179635801603715,0.010050378152592129,0.004287760618349527,0.0060754535932419996,0.0015289303889880425,1.3850491771744738e-05,1.857461540026423e-05,1.1943522485948354e-06,3.8572926516409213e-07,0.0,0.0,0.0,0.0,0.0,59.929982562259006,1015.4491094610923,24361.732835283678
